first_name,last_name,email,gender,GPA,grad_date,degree
Alfi,Hansana,ahansana0@boston.com,Female,1.36,4/25/2025,Computer Engineering
Mendy,Shales,mshales1@facebook.com,Genderfluid,0.23,2/14/2027,Computer Science
Mal,Garber,mgarber2@shinystat.com,Male,0.73,4/15/2026,Electrical Engineering
Quinn,Hubble,qhubble3@squidoo.com,Female,3.65,8/6/2024,Mechanical Engineering
Cacilia,Pavlovsky,cpavlovsky4@acquirethisname.com,Female,2.9,9/9/2025,Civil Engineering
Isidor,Tranter,itranter5@artisteer.com,Agender,1.45,9/24/2026,Electrical Engineering
Matthew,Stump,mstump6@census.com,Male,3.77,11/15/2026,Computer Science
Cecil,Tingly,ctingly7@reverbnation.com,Male,2.13,6/4/2024,Mechanical Engineering
Rickey,Scrannage,rscrannage8@hubpages.com,Agender,0.4,10/17/2025,Civil Engineering
Silvana,Swaisland,sswaisland9@wikia.com,Female,1.25,11/17/2025,Mechanical Engineering
Laurens,Hawking,lhawkinga@newsvine.com,Male,3.12,3/26/2025,Electrical Engineering
Dehlia,Rymour,drymourb@earthlink.net,Female,0.86,4/10/2027,Computer Engineering
Salmon,Kareman,skaremanc@jugem.com,Non-binary,0.95,10/24/2024,Mechanical Engineering
Tait,Bausmann,tbausmannd@psu.com,Male,1.09,12/7/2026,Computer Engineering
Justinian,Keggins,jkegginse@moonfruit.com,Male,1.12,11/12/2026,Mechanical Engineering
Justinian,Utting,juttingf@pen.com,Male,2.47,7/3/2025,Computer Science
Cybil,Malloy,cmalloyg@scribd.com,Female,1.93,1/15/2027,Civil Engineering
Renado,Gavozzi,rgavozzih@spotify.com,Male,0.36,9/11/2024,Electrical Engineering
Stephanus,Vyvyan,svyvyani@thetimes.com,Male,2.41,2/13/2025,Computer Engineering
Carlene,Balnaves,cbalnavesj@phoca.com,Female,0.75,12/7/2026,Mechanical Engineering
Melisse,Vittore,mvittorek@bbc.com,Female,2.4,1/28/2026,Computer Science
Kelley,Vel,kvell@skype.com,Male,1.45,9/9/2025,Mechanical Engineering
Jeffy,Dunlop,jdunlopm@vk.com,Male,1.28,11/11/2025,Civil Engineering
Minne,Silliman,msillimann@blog.com,Female,0.36,1/8/2026,Mechanical Engineering
Mason,Hilland,mhillando@blinklist.com,Male,3.48,5/14/2024,Electrical Engineering
Alfreda,Preon,apreonp@eepurl.com,Female,0.15,6/25/2024,Mechanical Engineering
Mar,Muggleton,mmuggletonq@upenn.com,Male,1.98,7/10/2024,Mechanical Engineering
Nappy,Reeday,nreedayr@github.com,Male,2.25,12/22/2026,Computer Science
Maddy,Siggery,msiggerys@npr.com,Male,0.7,1/30/2025,Civil Engineering
Ethe,Brissard,ebrissardt@facebook.com,Male,0.52,1/18/2027,Electrical Engineering
Devlen,Harry,dharryu@com.com,Male,2.86,3/10/2026,Mechanical Engineering
Brandon,Dorie,bdoriev@stanford.com,Male,1.1,1/5/2026,Mechanical Engineering
Milka,Cruse,mcrusew@networkadvertising.com,Female,1.64,1/16/2026,Mechanical Engineering
Hynda,MacMeekan,hmacmeekanx@bandcamp.com,Female,1.61,3/6/2027,Civil Engineering
Hurlee,Chessun,hchessuny@businessinsider.com,Male,3.12,9/3/2026,Computer Science
Ingmar,Kruschev,ikruschevz@forbes.com,Male,1.55,10/13/2026,Computer Engineering
Aleta,Jaycox,ajaycox10@tinyurl.com,Female,0.92,5/1/2026,Civil Engineering
Fernanda,Whyard,fwhyard11@marketwatch.com,Genderqueer,1.29,10/20/2026,Computer Science
Elora,Abraham,eabraham12@eventbrite.com,Female,0.68,9/17/2025,Mechanical Engineering
Opalina,Goodband,ogoodband13@nps.com,Female,0.89,12/1/2026,Electrical Engineering
Miguelita,Marshalleck,mmarshalleck14@skype.com,Female,3.73,6/1/2026,Computer Engineering
Clayborn,Dutnell,cdutnell15@hugedomains.com,Male,2.88,7/12/2025,Mechanical Engineering
Ignaz,Seiler,iseiler16@oracle.com,Male,1.61,4/13/2027,Civil Engineering
Faunie,Lorie,florie17@cnet.com,Female,3.14,7/20/2026,Computer Science
Hatty,Blazewski,hblazewski18@mapquest.com,Female,3.79,10/5/2026,Electrical Engineering
Jere,Dows,jdows19@state.com,Female,1.9,1/30/2025,Computer Engineering
Wilbur,Defond,wdefond1a@lycos.com,Male,0.72,6/1/2024,Mechanical Engineering
Kameko,Burnyeat,kburnyeat1b@shutterfly.com,Female,3.94,7/19/2026,Computer Science
Benton,Santos,bsantos1c@booking.com,Male,1.17,7/22/2024,Mechanical Engineering
Zorana,Niset,zniset1d@pinterest.com,Non-binary,1.52,9/5/2025,Civil Engineering
